Stanovanjske razmere po: STATISTIÈNA REGIJA, LETO , STANOVANJSKE RAZMERE;;;
;;;
Pomurska;;;
 ;2008;;
 ; ;Ni primernega ogrevanja;9
 ;2009;;
 ; ;Ni primernega ogrevanja;6
 ;2010;;
 ; ;Ni primernega ogrevanja;6
 ;2011;;
 ; ;Ni primernega ogrevanja;6
 ;2012;;
 ; ;Ni primernega ogrevanja;4
 ;2013;;
 ; ;Ni primernega ogrevanja;4
 ;2014;;
 ; ;Ni primernega ogrevanja;7
 ;2015;;
 ; ;Ni primernega ogrevanja;6
 ;2016;;
 ; ;Ni primernega ogrevanja;3
 ;2017;;
 ; ;Ni primernega ogrevanja;4
Podravska;;;
 ;2008;;
 ; ;Ni primernega ogrevanja;9
 ;2009;;
 ; ;Ni primernega ogrevanja;6
 ;2010;;
 ; ;Ni primernega ogrevanja;6
 ;2011;;
 ; ;Ni primernega ogrevanja;8
 ;2012;;
 ; ;Ni primernega ogrevanja;9
 ;2013;;
 ; ;Ni primernega ogrevanja;9
 ;2014;;
 ; ;Ni primernega ogrevanja;9
 ;2015;;
 ; ;Ni primernega ogrevanja;9
 ;2016;;
 ; ;Ni primernega ogrevanja;8
 ;2017;;
 ; ;Ni primernega ogrevanja;7
Koroška;;;
 ;2008;;
 ; ;Ni primernega ogrevanja;7
 ;2009;;
 ; ;Ni primernega ogrevanja;5
 ;2010;;
 ; ;Ni primernega ogrevanja;5
 ;2011;;
 ; ;Ni primernega ogrevanja;5
 ;2012;;
 ; ;Ni primernega ogrevanja;5
 ;2013;;
 ; ;Ni primernega ogrevanja;8
 ;2014;;
 ; ;Ni primernega ogrevanja;7
 ;2015;;
 ; ;Ni primernega ogrevanja;9
 ;2016;;
 ; ;Ni primernega ogrevanja;8
 ;2017;;
 ; ;Ni primernega ogrevanja;9
Savinjska;;;
 ;2008;;
 ; ;Ni primernega ogrevanja;7
 ;2009;;
 ; ;Ni primernega ogrevanja;5
 ;2010;;
 ; ;Ni primernega ogrevanja;8
 ;2011;;
 ; ;Ni primernega ogrevanja;5
 ;2012;;
 ; ;Ni primernega ogrevanja;8
 ;2013;;
 ; ;Ni primernega ogrevanja;5
 ;2014;;
 ; ;Ni primernega ogrevanja;6
 ;2015;;
 ; ;Ni primernega ogrevanja;7
 ;2016;;
 ; ;Ni primernega ogrevanja;6
 ;2017;;
 ; ;Ni primernega ogrevanja;6
Zasavska;;;
 ;2008;;
 ; ;Ni primernega ogrevanja;11
 ;2009;;
 ; ;Ni primernega ogrevanja;9
 ;2010;;
 ; ;Ni primernega ogrevanja;8
 ;2011;;
 ; ;Ni primernega ogrevanja;13
 ;2012;;
 ; ;Ni primernega ogrevanja;21
 ;2013;;
 ; ;Ni primernega ogrevanja;10
 ;2014;;
 ; ;Ni primernega ogrevanja;12
 ;2015;;
 ; ;Ni primernega ogrevanja;19
 ;2016;;
 ; ;Ni primernega ogrevanja;17
 ;2017;;
 ; ;Ni primernega ogrevanja;20
Posavska;;;
 ;2008;;
 ; ;Ni primernega ogrevanja;8
 ;2009;;
 ; ;Ni primernega ogrevanja;8
 ;2010;;
 ; ;Ni primernega ogrevanja;7
 ;2011;;
 ; ;Ni primernega ogrevanja;9
 ;2012;;
 ; ;Ni primernega ogrevanja;7
 ;2013;;
 ; ;Ni primernega ogrevanja;4
 ;2014;;
 ; ;Ni primernega ogrevanja;4
 ;2015;;
 ; ;Ni primernega ogrevanja;6
 ;2016;;
 ; ;Ni primernega ogrevanja;7
 ;2017;;
 ; ;Ni primernega ogrevanja;4
Jugovzhodna Slovenija;;;
 ;2008;;
 ; ;Ni primernega ogrevanja;8
 ;2009;;
 ; ;Ni primernega ogrevanja;8
 ;2010;;
 ; ;Ni primernega ogrevanja;9
 ;2011;;
 ; ;Ni primernega ogrevanja;6
 ;2012;;
 ; ;Ni primernega ogrevanja;7
 ;2013;;
 ; ;Ni primernega ogrevanja;7
 ;2014;;
 ; ;Ni primernega ogrevanja;8
 ;2015;;
 ; ;Ni primernega ogrevanja;5
 ;2016;;
 ; ;Ni primernega ogrevanja;3
 ;2017;;
 ; ;Ni primernega ogrevanja;4
Osrednjeslovenska;;;
 ;2008;;
 ; ;Ni primernega ogrevanja;4
 ;2009;;
 ; ;Ni primernega ogrevanja;4
 ;2010;;
 ; ;Ni primernega ogrevanja;5
 ;2011;;
 ; ;Ni primernega ogrevanja;5
 ;2012;;
 ; ;Ni primernega ogrevanja;6
 ;2013;;
 ; ;Ni primernega ogrevanja;5
 ;2014;;
 ; ;Ni primernega ogrevanja;6
 ;2015;;
 ; ;Ni primernega ogrevanja;5
 ;2016;;
 ; ;Ni primernega ogrevanja;5
 ;2017;;
 ; ;Ni primernega ogrevanja;3
Gorenjska;;;
 ;2008;;
 ; ;Ni primernega ogrevanja;3
 ;2009;;
 ; ;Ni primernega ogrevanja;3
 ;2010;;
 ; ;Ni primernega ogrevanja;5
 ;2011;;
 ; ;Ni primernega ogrevanja;4
 ;2012;;
 ; ;Ni primernega ogrevanja;7
 ;2013;;
 ; ;Ni primernega ogrevanja;5
 ;2014;;
 ; ;Ni primernega ogrevanja;5
 ;2015;;
 ; ;Ni primernega ogrevanja;5
 ;2016;;
 ; ;Ni primernega ogrevanja;6
 ;2017;;
 ; ;Ni primernega ogrevanja;4
Primorsko-notranjska;;;
 ;2008;;
 ; ;Ni primernega ogrevanja;5
 ;2009;;
 ; ;Ni primernega ogrevanja;12
 ;2010;;
 ; ;Ni primernega ogrevanja;4
 ;2011;;
 ; ;Ni primernega ogrevanja;12
 ;2012;;
 ; ;Ni primernega ogrevanja;5
 ;2013;;
 ; ;Ni primernega ogrevanja;7
 ;2014;;
 ; ;Ni primernega ogrevanja;9
 ;2015;;
 ; ;Ni primernega ogrevanja;5
 ;2016;;
 ; ;Ni primernega ogrevanja;2
 ;2017;;
 ; ;Ni primernega ogrevanja;4
Goriška;;;
 ;2008;;
 ; ;Ni primernega ogrevanja;6
 ;2009;;
 ; ;Ni primernega ogrevanja;4
 ;2010;;
 ; ;Ni primernega ogrevanja;5
 ;2011;;
 ; ;Ni primernega ogrevanja;4
 ;2012;;
 ; ;Ni primernega ogrevanja;8
 ;2013;;
 ; ;Ni primernega ogrevanja;5
 ;2014;;
 ; ;Ni primernega ogrevanja;5
 ;2015;;
 ; ;Ni primernega ogrevanja;5
 ;2016;;
 ; ;Ni primernega ogrevanja;7
 ;2017;;
 ; ;Ni primernega ogrevanja;4
;;;
Vir: Statistièni urad Republike Slovenije. ;;;
;;;
Povezane vsebine: ;;;
- (seznam ;;;
HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-;;;
e=8291 target=_blank) Metodološka pojasnila ;;;
;;;
Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih ;;;
teritorialnih enot v Evropski uniji (The Classification  of ;;;
Territorial Units for Statistics) – NUTS ((seznam ;;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-;;;
ije/klasifikacije TARGET=_blank) opis in pojasnila), raven NUTS 3. ;;;
Podatki o spremembah posameznih statistiènih regij so dostopni tudi ;;;
na (seznam HREF=http://www.stat.si/dokument/8484 TARGET=_blank) ;;;
povezavi.;;;
;;;
Rezultati statistiènega raziskovanja SILC izhajajo iz ankete, ;;;
izvedene v zaèetku posameznega leta, in iz registrov ter ;;;
administrativnih virov, ki se veèinoma nanašajo na leto pred izvedbo ;;;
ankete.;;;
;;;
Zaradi zaokroževanja se vsote vèasih ne ujemajo.;;;
;;;
Delež gospodinjstev, ki si ne morejo privošèiti primerno ogrevanega ;;;
stanovanja.;;;
